id,name,link,year
0,I Write Sins Not Tragedies,https://www.youtube.com/watch?v=vc6vs-l5dkc,2006
1,But It's Better If You Do,https://www.youtube.com/watch?v=uBtH2YlNiNc,2006
2,Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off,https://www.youtube.com/watch?v=8AZxUtZ2ZgI,2006
3,"Build God, Then We'll Talk",https://www.youtube.com/watch?v=TFSIm3Zeecg,2007
4,Nine in the Afternoon,https://www.youtube.com/watch?v=yCto3PCn8wo,2008
5,Mad as Rabbits,https://www.youtube.com/watch?v=w6LJLcZmJiY,2008
6,That Green Gentleman (Things Have Changed),https://www.youtube.com/watch?v=3f3K2sEHuIM,2008
7,Northern Downpour,https://www.youtube.com/watch?v=zouSojyIi94,2008
8,It's Almost Halloween,https://www.youtube.com/watch?v=3iTFnNU3AYg,2008
9,New Perspective,https://www.youtube.com/watch?v=d3sA5plF6kE,2009
10,The Ballad of Mona Lisa,https://www.youtube.com/watch?v=gOgpdp3lP8M,2011
11,The Overture,https://www.youtube.com/watch?v=8hQ6QjeKUOs,2011
12,Ready to Go (Get Me Out of My Mind),https://www.youtube.com/watch?v=Y0jUcR25bcU,2011
13,Let's Kill Tonight,https://www.youtube.com/watch?v=uu2XSQgdQDY,2011
14,Miss Jackson,https://www.youtube.com/watch?v=LUc_jXBD9DU,2013
15,This Is Gospel,https://www.youtube.com/watch?v=tGE381tbQa8,2013
16,Girls / Girls / Boys,https://www.youtube.com/watch?v=Yk8jV7r6VMk,2013
17,Nicotine,https://www.youtube.com/watch?v=LkBxcmxWKAA,2014
18,This Is Gospel (Piano Version),https://www.youtube.com/watch?v=jO2_3pVd5k0,2014
19,Hallelujah,https://www.youtube.com/watch?v=DxYyHHR0Q1c,2015
20,Emperor's New Clothes,https://www.youtube.com/watch?v=7qFF2v8VsaA,2015
21,Victorious,https://www.youtube.com/watch?v=AUChk0lxF44,2015
22,Death of a Bachelor,https://www.youtube.com/watch?v=R03cqGg40GU,2015
23,Don't Threaten Me with a Good Time,https://www.youtube.com/watch?v=H5NqIsnyTG8,2016
24,LA Devotee,https://www.youtube.com/watch?v=r5dNcKTcnPA,2016
25,Say Amen (Saturday Night),https://www.youtube.com/watch?v=jVXauWq9Hwg,2018
26,"Hey Look Ma, I Made It",https://www.youtube.com/watch?v=BzbxacRr5Gk,2018
27,High Hopes,https://www.youtube.com/watch?v=IPXIgEAGe4U,2018
28,Dancing's Not a Crime,https://www.youtube.com/watch?v=rODNMWBLZzY,2019
29,Into the Unknown,https://www.youtube.com/watch?v=jp-CVYGEsjg,2019
